id,en,fr,partyIds
1,Restore diplomatic relations with Iran,Rétablir les relations diplomatiques avec l’Iran,L
2,Lift the visa requirement for Mexican visitors to Canada,Mettre fin à l'imposition des visas pour les ressortissants mexicains,L
3,Continue Canada's combat mission against Islamic State in Iraq and Syria,Poursuivre la mission militaire contre le groupe État islamique en Irak et en Syrie,C
4,Maintain sanctions against Iran despite the Iranian nuclear deal,Maintenir les sanctions contre l’Iran en dépit de l'accord sur le dossier nucléaire iranien,C
5,Oppose the Trans-Pacific Partnership,Se retirer des négotiations du Partenariat transpacifique,G
6,Reopen the Canada-China foreign investor agreement,Rouvrir l'accord Canada-Chine visant à protéger les investissements étrangers ,"G,N"
7,Offer unconditional support for Israel in its conflict with Hamas in Gaza,Offrir un appui sans équivoque à Israël dans son conflit avec le Hamas dans la bande de Gaza,C
8,Defend supply management in the agricultural sector,Protéger les secteurs agricoles soumis à la gestion de l’offre,"B,C,G,L,N"
9,Give Quebec authority over employment insurance in the province,Confier au Québec la gestion du programme d’assurance-emploi pour les Québécois,B
10,"Make admission to national parks free in 2017, the 150th anniversary of Confederation",Offrir l’entrée gratuite dans les parcs nationaux en 2017 pour le 150e anniversaire de la Confédération,L
11,Ban face coverings such as niqabs or burkas for people swearing their oath of citizenship,Interdire le port du niqab ou de la burqa pendant la prestation du serment de citoyenneté canadienne,C
12,"Force labour unions to disclose all spending on outside activities above $5,000 and salaries above $100,000/year",Obliger les syndicats à rendre publiques les dépenses de plus de 5 000 $ et les salaires de plus de 100 000 $,C
13,Establish a youth corps that would earn $15 federal minimum wage,Mettre en place une brigade jeunesse qui offrira des emplois au salaire minimum,G
14,Ban discrimination based on the results of genetic tests,Interdire la discrimination fondée sur les résultats de tests génétiques,"C,N"
15,Restore the $115 million cut from the budgets of CBC/Radio-Canada,Reverser à CBC/Radio-Canada les 115 millions $ dont son budget a été amputé,"L,N"
18,Withdraw Canadian soldiers from the military missions in Iraq and Syria,Rapatrier les militaires qui prennent part à la mission canadienne en Irak et en Syrie,"G,N"
19,End the Canadian bombing mission against Islamic State in Iraq and Syria,Mettre fin à la mission de bombardement contre l’État islamique en Irak et en Syrie,"G,L,N"
20,Increase military spending by $11.8 billion over 10 years,"Augmenter le financement des Forces canadiennes de plus de 11,8 milliards $ sur 10 ans",C
21,Provide broadband Internet access to remote areas of Canada,Amener Internet à haute vitesse dans les régions éloignées du Canada,"G,L,N"
22,Roll back the recent doubling of TFSA contribution limits,Annuler la hausse de cotisations à 10 000 $ du CELI,"G,L,N"
23,Restore the retirement age to 65 from 67,Rétablir l’âge de la retraite à 65 ans plutôt que 67 ans,"B,L,N,G"
26,Reduce the small-business tax rate from 11% to 9%,Réduire le taux d’imposition des PME de 11 % à 9 %,"C,G,N"
28,Prohibit banks from charging fees for transactions,Interdire aux banques d’imposer des frais supplémentaires lorsqu’on effectue des paiements,N
29,Eliminate income splitting for couples,Annuler le régime de fractionnement du revenu,"G,L,N"
30,"Reduce the tax rate for earnings between $44,401 and $89,401, from 22 per cent to 20.5 per cent","Réduire le taux d’imposition pour les revenus entre 44 700 $ et 89 401 $ de 22 % à 20,5 %",L
31,"Create a new tax bracket for earnings above $200,000, with a tax rate of 33%",Introduire une nouvelle tranche d’imposition de 33 % pour les revenus de plus de 200 000 $,L
32,Narrow the price gap between goods sold in Canada and the United States,S’attaquer à l’écart de prix pour un même produit au Canada et aux États-Unis,C
33,Take part in negotiations for the Trans-Pacific Partnership,"Participer aux négociations du Pacte transpacifique, la plus importante entente de libre-échange au monde",C
35,Commit to balancing this year's budget,Maintenir l’équilibre budgétaire pour l’année en cours,"C,N"
36,Ratify and implement the free trade agreement with the European Union,Ratifier et mettre en œuvre le traité de libre-échange avec l'Union européenne,"C,L"
37,"Forbid future governments from running deficits, except in cases of recession, war or natural disaster","Interdire les déficits, sauf dans des circonstances exceptionnelles, telles qu’une récession, une guerre ou une catastrophe naturelle",C
38,Eliminate the Universal Child Care Benefit,Éliminer la Prestation universelle pour la garde d’enfants (PUGE),"G,L"
39,Regulate payday-loan activities,Réglementer l’industrie des prêts sur salaire,"C,G,N"
40,Eliminate the Temporary Foreign Worker program,Éliminer le Programme des travailleurs étrangers temporaires,G
41,Replace various social transfers with a guaranteed basic income,Remplacer les différentes prestations gouvernementales par un revenu minimum garanti,G
42,Raise corporate taxes,Augmenter le taux d’imposition des grandes entreprises,"G,N"
44,Increase Canada Pension Plan benefits,Augmenter les prestations du Régime de pensions du Canada,"L,N"
45,Pay the first two years of tuition for postsecondary students,Payer les droits de scolarité des deux premières années d’études postsecondaires,G
47,Oppose the Keystone XL pipeline project,Mettre un frein au projet d’oléoduc Keystone XL,"G,N"
48,Oppose the Northern Gateway pipeline project,Mettre un frein au projet d’oléoduc Northern Gateway,"G,L,N"
49,Support the Keystone XL pipeline project,Appuyer le projet d’oléoduc Keystone XL,"C,L"
52,Oppose the Energy-East pipeline project,Mettre un frein au projet de pipeline Énergie-Est,"B,G,L,N"
53,Support the Energy-East pipeline project,Appuyer le projet de pipeline Énergie-Est,C
54,Support the Northern Gateway pipeline project,Appuyer le projet de pipeline Northern Gateway,C
56,Create a carbon-neutral Canada by 2100,Afficher un bilan neutre en carbone d’ici 2100,G
57,Contribute $500 million annually to the UN's Green Climate Fund,Verser 500 millions $ par an dans le Fonds vert pour le climat des Nations Unies,G
58,End cosmetic pesticide use by 2016,Interdire l’utilisation de pesticides à des fins esthétiques d’ici 2016,G
59,Make killing a protected species a criminal offence,Criminaliser le fait de tuer une espèce protégée,G
61,Put a price on carbon,Imposer un tarif sur le carbone,"B,G,L,N"
62,Eliminate subsidies to the fossil fuel industry,Éliminer les subventions aux combustibles fossiles,"B,G,L,N"
63,Create a universal child care system costing no more than $15 per child per day,Instaurer un système universel de garderies subventionnées à moins de 15 $ par jour par enfant,N
